LobbystEmployerId,LobbyistId,OrganizationId,DateAdded,Year
275,241,252,06-Jul-14,2014
277,242,254,06-Jul-14,2014
278,243,255,06-Jul-14,2014
279,244,256,06-Jul-14,2014
280,245,257,06-Jul-14,2014
281,245,258,06-Jul-14,2014
282,245,259,06-Jul-14,2014
283,246,133,06-Jul-14,2014
284,245,260,06-Jul-14,2014
285,245,261,06-Jul-14,2014
286,245,262,06-Jul-14,2014
287,248,258,06-Jul-14,2014
289,249,264,06-Jul-14,2014
290,250,265,06-Jul-14,2014
291,248,259,06-Jul-14,2014
292,248,262,06-Jul-14,2014
293,251,266,06-Jul-14,2014
294,252,267,06-Jul-14,2014
295,253,237,06-Jul-14,2014
296,252,268,06-Jul-14,2014
297,252,269,06-Jul-14,2014
298,252,270,06-Jul-14,2014
299,254,519,06-Jul-14,2014
300,252,272,06-Jul-14,2014
301,256,273,06-Jul-14,2014
304,257,276,06-Jul-14,2014
305,258,100,06-Jul-14,2014
306,259,201,06-Jul-14,2014
307,260,277,06-Jul-14,2014
308,260,278,06-Jul-14,2014
309,260,279,06-Jul-14,2014
310,260,280,06-Jul-14,2014
311,260,281,06-Jul-14,2014
312,261,282,06-Jul-14,2014
313,263,140,06-Jul-14,2014
314,262,283,06-Jul-14,2014
315,264,157,06-Jul-14,2014
316,265,113,06-Jul-14,2014
317,266,227,06-Jul-14,2014
318,267,255,06-Jul-14,2014
319,268,191,06-Jul-14,2014
320,269,284,06-Jul-14,2014
321,270,285,06-Jul-14,2014
323,271,287,06-Jul-14,2014
324,273,113,06-Jul-14,2014
326,274,289,06-Jul-14,2014
327,272,290,06-Jul-14,2014
328,275,288,06-Jul-14,2014
329,274,291,06-Jul-14,2014
330,274,292,06-Jul-14,2014
331,276,293,06-Jul-14,2014
332,276,294,06-Jul-14,2014
333,277,273,06-Jul-14,2014
334,278,295,06-Jul-14,2014
335,279,159,06-Jul-14,2014
336,280,296,06-Jul-14,2014
337,281,297,06-Jul-14,2014
338,282,298,06-Jul-14,2014
339,283,146,06-Jul-14,2014
340,283,146,06-Jul-14,2014
341,283,1069,06-Jul-14,2014
342,284,35,06-Jul-14,2014
343,285,299,06-Jul-14,2014
344,286,300,06-Jul-14,2014
346,288,302,06-Jul-14,2014
353,290,113,06-Jul-14,2014
354,291,113,06-Jul-14,2014
356,293,202,06-Jul-14,2014
357,292,310,06-Jul-14,2014
358,294,311,06-Jul-14,2014
359,295,101,06-Jul-14,2014
360,294,312,06-Jul-14,2014
361,296,313,06-Jul-14,2014
362,297,111,06-Jul-14,2014
363,298,314,06-Jul-14,2014
364,299,111,06-Jul-14,2014
365,300,201,06-Jul-14,2014
366,301,315,06-Jul-14,2014
367,301,316,06-Jul-14,2014
368,301,237,06-Jul-14,2014
369,301,317,06-Jul-14,2014
370,301,318,06-Jul-14,2014
371,255,319,06-Jul-14,2014
373,302,258,06-Jul-14,2014
374,302,259,06-Jul-14,2014
375,302,260,06-Jul-14,2014
376,302,261,06-Jul-14,2014
377,302,262,06-Jul-14,2014
378,303,320,06-Jul-14,2014
379,304,321,06-Jul-14,2014
380,305,322,06-Jul-14,2014
381,306,173,06-Jul-14,2014
382,307,323,06-Jul-14,2014
383,308,324,06-Jul-14,2014
384,309,102,06-Jul-14,2014
386,311,325,06-Jul-14,2014
387,311,326,06-Jul-14,2014
388,311,327,06-Jul-14,2014
389,312,191,06-Jul-14,2014
390,313,328,06-Jul-14,2014
391,314,101,06-Jul-14,2014
392,315,329,06-Jul-14,2014
393,315,330,06-Jul-14,2014
395,315,332,06-Jul-14,2014
396,315,333,06-Jul-14,2014
399,315,336,06-Jul-14,2014
400,316,337,06-Jul-14,2014
401,316,338,06-Jul-14,2014
404,316,341,06-Jul-14,2014
406,316,344,06-Jul-14,2014
410,316,347,06-Jul-14,2014
411,316,348,06-Jul-14,2014
412,317,321,06-Jul-14,2014
414,317,350,06-Jul-14,2014
415,317,351,06-Jul-14,2014
416,316,352,06-Jul-14,2014
420,316,356,06-Jul-14,2014
423,319,358,06-Jul-14,2014
424,320,359,06-Jul-14,2014
426,321,361,06-Jul-14,2014
427,322,362,06-Jul-14,2014
428,323,363,06-Jul-14,2014
429,324,202,06-Jul-14,2014
430,325,364,06-Jul-14,2014
431,326,365,06-Jul-14,2014
432,327,366,06-Jul-14,2014
434,328,202,06-Jul-14,2014
440,329,372,06-Jul-14,2014
443,329,375,06-Jul-14,2014
444,329,376,06-Jul-14,2014
449,329,381,06-Jul-14,2014
455,330,371,06-Jul-14,2014
456,330,372,06-Jul-14,2014
457,330,373,06-Jul-14,2014
459,330,375,06-Jul-14,2014
460,330,376,06-Jul-14,2014
462,331,382,06-Jul-14,2014
463,332,383,06-Jul-14,2014
466,330,379,06-Jul-14,2014
467,330,380,06-Jul-14,2014
468,330,385,06-Jul-14,2014
469,330,381,06-Jul-14,2014
470,334,386,06-Jul-14,2014
471,335,387,06-Jul-14,2014
472,334,388,06-Jul-14,2014
473,336,287,06-Jul-14,2014
474,337,158,06-Jul-14,2014
475,338,186,06-Jul-14,2014
476,339,389,06-Jul-14,2014
477,340,237,06-Jul-14,2014
478,341,390,06-Jul-14,2014
479,342,391,06-Jul-14,2014
480,343,254,06-Jul-14,2014
481,341,128,06-Jul-14,2014
482,344,35,06-Jul-14,2014
483,346,201,06-Jul-14,2014
484,345,392,06-Jul-14,2014
485,348,393,06-Jul-14,2014
486,347,394,06-Jul-14,2014
487,349,395,06-Jul-14,2014
488,350,396,06-Jul-14,2014
489,350,397,06-Jul-14,2014
490,350,452,06-Jul-14,2014
491,350,399,06-Jul-14,2014
492,350,400,06-Jul-14,2014
493,351,201,06-Jul-14,2014
495,343,402,06-Jul-14,2014
496,353,403,06-Jul-14,2014
499,355,406,06-Jul-14,2014
501,355,408,06-Jul-14,2014
502,356,173,06-Jul-14,2014
503,357,228,06-Jul-14,2014
504,358,409,06-Jul-14,2014
